,ID,Pred,Season,LTeam,RTeam,SeedL,SeedR,RegL,RegR,Upset,SDiff_0,SDiff_1,SDiff_2,SDiff_3,SDiff_4,SDiff_5,SDiff_6,SDiff_7,SDiff_8,LWins,LLoses,RWins,RLoses,LWPC,RWPC,DiffWPC,LConDist,RConDist,ConDist_0,ConDist_1,ConDist_2,ConDist_3,ConDist_4,Acutals
3387,2018_1254_1347,0.0,2018,1254,1347,8,8,W,W,1,1,0,0,0,0,0,0,0,0,17.0,16.0,20.0,12.0,0.5151515151515151,0.625,-0.10984848484848486,3.0,3.0,1,0,0,0,0,0.5625774310141669
3388,2018_1382_1417,1.0,2018,1382,1417,5,5,W,W,1,1,0,0,0,0,0,0,0,0,25.0,7.0,21.0,11.0,0.78125,0.65625,0.125,1.0,1.0,1,0,0,0,0,0.5476197503800969
3389,2018_1113_1393,0.0,2018,1113,1393,5,5,X,X,1,1,0,0,0,0,0,0,0,0,20.0,11.0,20.0,13.0,0.6451612903225806,0.6060606060606061,0.03910068426197455,0.0,1.0,0,1,0,0,0,0.5624355044278558
3390,2018_1300_1411,0.0,2018,1300,1411,8,8,Z,Z,1,1,0,0,0,0,0,0,0,0,16.0,15.0,15.0,19.0,0.5161290322580645,0.4411764705882353,0.07495256166982922,4.0,3.0,0,1,0,0,0,0.5601585653956691
3391,2018_1104_1439,1.0,2018,1104,1439,4,4,W,W,1,1,0,0,0,0,0,0,0,0,19.0,15.0,21.0,11.0,0.5588235294117647,0.65625,-0.09742647058823528,2.0,0.0,0,0,1,0,0,0.5447262355453831
3392,2018_1112_1138,0.0,2018,1112,1138,2,6,Y,Y,1,0,0,0,0,1,0,0,0,0,27.0,7.0,25.0,8.0,0.7941176470588235,0.7575757575757576,0.036541889483065915,3.0,3.0,1,0,0,0,0,0.27669373010855014
3393,2018_1181_1233,1.0,2018,1181,1233,1,7,X,X,0,0,0,0,0,0,0,1,0,0,26.0,7.0,20.0,13.0,0.7878787878787878,0.6060606060606061,0.18181818181818177,1.0,3.0,0,0,1,0,0,0.10009961896863731
3394,2018_1196_1382,1.0,2018,1196,1382,3,5,W,W,0,0,0,1,0,0,0,0,0,0,20.0,12.0,25.0,7.0,0.625,0.78125,-0.15625,0.0,1.0,0,1,0,0,0,0.374301508045724
3395,2018_1211_1422,1.0,2018,1211,1422,2,6,Z,Z,0,0,0,0,0,1,0,0,0,0,30.0,4.0,24.0,7.0,0.8823529411764706,0.7741935483870968,0.10815939278937381,3.0,3.0,1,0,0,0,0,0.2730122899277729
3396,2018_1222_1361,1.0,2018,1222,1361,3,5,Z,Z,0,0,0,1,0,0,0,0,0,0,26.0,7.0,21.0,10.0,0.7878787878787878,0.6774193548387096,0.11045943304007821,2.0,3.0,0,1,0,0,0,0.3583356124426279
