,ID,Pred,Season,LTeam,RTeam,SeedL,SeedR,RegL,RegR,Upset
0,2019_1101_1113,0.5,2019,1101,1113,15,11,Y,X,0
1,2019_1101_1120,0.5,2019,1101,1120,15,5,Y,Y,0
2,2019_1101_1124,0.5,2019,1101,1124,15,9,Y,X,0
3,2019_1101_1125,0.5,2019,1101,1125,15,11,Y,W,0
4,2019_1101_1133,0.5,2019,1101,1133,15,15,Y,W,0
5,2019_1101_1138,0.5,2019,1101,1138,15,6,Y,X,0
6,2019_1101_1153,0.5,2019,1101,1153,15,7,Y,Z,0
7,2019_1101_1159,0.5,2019,1101,1159,15,15,Y,Z,0
8,2019_1101_1181,0.5,2019,1101,1181,15,1,Y,W,0
9,2019_1101_1192,0.5,2019,1101,1192,15,16,Y,X,0
10,2019_1101_1196,0.5,2019,1101,1196,15,10,Y,X,0
11,2019_1101_1199,0.5,2019,1101,1199,15,4,Y,X,0
12,2019_1101_1205,0.5,2019,1101,1205,15,16,Y,Z,0
13,2019_1101_1209,0.5,2019,1101,1209,15,14,Y,Y,0
14,2019_1101_1211,0.5,2019,1101,1211,15,1,Y,X,0
15,2019_1101_1222,0.5,2019,1101,1222,15,3,Y,Y,0
16,2019_1101_1233,0.5,2019,1101,1233,15,16,Y,Y,0
17,2019_1101_1234,0.5,2019,1101,1234,15,10,Y,Z,0
18,2019_1101_1235,0.5,2019,1101,1235,15,6,Y,Y,0
19,2019_1101_1242,0.5,2019,1101,1242,15,4,Y,Y,0
20,2019_1101_1243,0.5,2019,1101,1243,15,4,Y,Z,0
21,2019_1101_1246,0.5,2019,1101,1246,15,2,Y,Y,0
22,2019_1101_1251,0.5,2019,1101,1251,15,12,Y,W,0
23,2019_1101_1257,0.5,2019,1101,1257,15,7,Y,W,0
24,2019_1101_1261,0.5,2019,1101,1261,15,3,Y,W,0
25,2019_1101_1266,0.5,2019,1101,1266,15,5,Y,X,0
26,2019_1101_1268,0.5,2019,1101,1268,15,6,Y,W,0
27,2019_1101_1276,0.5,2019,1101,1276,15,2,Y,X,0
28,2019_1101_1277,0.5,2019,1101,1277,15,2,Y,W,0
29,2019_1101_1278,0.5,2019,1101,1278,15,10,Y,W,0
30,2019_1101_1279,0.5,2019,1101,1279,15,8,Y,Z,0
31,2019_1101_1280,0.5,2019,1101,1280,15,5,Y,W,0
32,2019_1101_1285,0.5,2019,1101,1285,15,15,Y,X,0
33,2019_1101_1293,0.5,2019,1101,1293,15,12,Y,X,0
34,2019_1101_1295,0.5,2019,1101,1295,15,16,Y,W,0
35,2019_1101_1297,0.5,2019,1101,1297,15,14,Y,X,0
36,2019_1101_1300,0.5,2019,1101,1300,15,16,Y,W,0
37,2019_1101_1305,0.5,2019,1101,1305,15,7,Y,X,0
38,2019_1101_1308,0.5,2019,1101,1308,15,12,Y,Y,0
39,2019_1101_1314,0.5,2019,1101,1314,15,1,Y,Y,0
40,2019_1101_1318,0.5,2019,1101,1318,15,13,Y,Y,0
41,2019_1101_1326,0.5,2019,1101,1326,15,11,Y,Y,0
42,2019_1101_1328,0.5,2019,1101,1328,15,9,Y,Z,0
43,2019_1101_1330,0.5,2019,1101,1330,15,14,Y,Z,0
44,2019_1101_1332,0.5,2019,1101,1332,15,12,Y,Z,0
45,2019_1101_1341,0.5,2019,1101,1341,15,16,Y,X,0
46,2019_1101_1345,0.5,2019,1101,1345,15,3,Y,Z,0
47,2019_1101_1371,0.5,2019,1101,1371,15,10,Y,Y,0
48,2019_1101_1385,0.5,2019,1101,1385,15,11,Y,X,0
49,2019_1101_1387,0.5,2019,1101,1387,15,13,Y,W,0
50,2019_1101_1388,0.5,2019,1101,1388,15,11,Y,Z,0
51,2019_1101_1393,0.5,2019,1101,1393,15,8,Y,X,0
52,2019_1101_1396,0.5,2019,1101,1396,15,11,Y,W,0
53,2019_1101_1397,0.5,2019,1101,1397,15,2,Y,Z,0
54,2019_1101_1403,0.5,2019,1101,1403,15,3,Y,X,0
55,2019_1101_1414,0.5,2019,1101,1414,15,13,Y,Z,0
56,2019_1101_1416,0.5,2019,1101,1416,15,9,Y,W,0
57,2019_1101_1429,0.5,2019,1101,1429,15,8,Y,Y,0
58,2019_1101_1433,0.5,2019,1101,1433,15,8,Y,W,0
59,2019_1101_1436,0.5,2019,1101,1436,15,13,Y,X,0
60,2019_1101_1437,0.5,2019,1101,1437,15,6,Y,Z,0
61,2019_1101_1438,0.5,2019,1101,1438,15,1,Y,Z,0
62,2019_1101_1439,0.5,2019,1101,1439,15,4,Y,W,0
63,2019_1101_1449,0.5,2019,1101,1449,15,9,Y,Y,0
64,2019_1101_1458,0.5,2019,1101,1458,15,5,Y,Z,0
65,2019_1101_1459,0.5,2019,1101,1459,15,7,Y,Y,0
66,2019_1101_1463,0.5,2019,1101,1463,15,14,Y,W,0
